Long,Lat,Prof_rock
-103.3742372,20.70005725,20
-103.3819303,20.71058116,14
-103.3702882,20.70307315,17
-103.3794316,20.70179543,6
-103.3802519,20.71403414,17
-103.3809031,20.70787057,32
-103.3687857,20.70352865,8
-103.3755677,20.7004221,13
-103.368693,20.69783686,22
